antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Strawberries'}),0.07522301411242743,0.08253882097512626,0.011846887242176807,0.15749019607843137,1.9080742154760404,1.0,0.005638068347141763,1.0889620212778943,0.5146228529288103,0.08119036066634319,0.08169432867226861,0.15051064485837223
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.04751734554207769,0.14871147401708595,0.012838061075187614,0.27017630990812014,1.816781870355738,1.0,0.0057716865782460325,1.1664303824883275,0.47200459489366775,0.07000386050701324,0.14268351115244807,0.17825248090819795
frozenset({'Banana'}),frozenset({'Large Lemon'}),0.14871147401708595,0.04751734554207769,0.012838061075187614,0.0863286519082758,1.816781870355738,1.0,0.0057716865782460325,1.0424784102590703,0.5281125913703203,0.07000386050701324,0.040747520371682174,0.17825248090819795
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.07522301411242743,0.11966064095907868,0.016248171048284327,0.21600000000000003,1.805104822009664,1.0,0.007246936964717439,1.1228818355113792,0.48229525379819493,0.09095713058986724,0.109434342622006,0.1758927127502219
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.11966064095907868,0.07522301411242743,0.016248171048284327,0.13578542550044376,1.805104822009664,1.0,0.007246936964717439,1.0700779796766173,0.5066404751018796,0.09095713058986724,0.06548866625383241,0.1758927127502219
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.08253882097512626,0.14871147401708595,0.018265917779770616,0.221300929235168,1.488122760519084,1.0,0.005991448048927218,1.0932188799798943,0.35752186136640013,0.08576177285318559,0.08527009703821495,0.1720644136773317
frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.14871147401708595,0.08253882097512626,0.018265917779770616,0.12282789811949536,1.488122760519084,1.0,0.005991448048927218,1.045930641270962,0.3853128738903834,0.08576177285318559,0.043913658763404535,0.1720644136773317
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.07522301411242743,0.14871147401708595,0.016425166375607685,0.2183529411764706,1.4682992191401674,1.0,0.005238641066940544,1.089095796335757,0.3448830515171262,0.0791538723984988,0.08180712535620668,0.1644014170295588
frozenset({'Banana'}),frozenset({'Organic Baby Spinach'}),0.14871147401708595,0.07522301411242743,0.016425166375607685,0.11044989288264699,1.4682992191401674,1.0,0.005238641066940544,1.0396007807636318,0.37465547711624825,0.0791538723984988,0.03809229609710701,0.1644014170295588
frozenset({'Organic Hass Avocado'}),frozenset({'Banana'}),0.06631424930381838,0.14871147401708595,0.010666918393354416,0.1608540925266904,1.0816521965763672,1.0,0.0008052286310470686,1.0144702112010129,0.08084990332679301,0.05219700906518852,0.014263810845546562,0.11629152297523919
frozenset({'Banana'}),frozenset({'Organic Hass Avocado'}),0.14871147401708595,0.06631424930381838,0.010666918393354416,0.07172895342378799,1.0816521965763672,1.0,0.0008052286310470686,1.005833106763311,0.08867546123005722,0.05219700906518852,0.0057992789500453,0.11629152297523919
